left,top,CellID,nlcd1_mean,nlcd2_mean,nlcd3_mean,nlcd4_mean,nlcd5_mean,nhlc1_mean,nhlc2_mean,nhlc3_mean,nhlc4_mean,nhlc5_mean,nhlc6_mean,pWP_mean,bio1_mean,bio7_mean,bio12_mean,el_mean,rugg_mean,rdLen,pop_sum,hms_sum
705000,4670000,924,0.42744,0.32956,0.09047,0.10739,0.04514,,,,,,,37.83926,105.2205,341.15906,1205.63889,71.664,0.86001,208122.0976,27855,40
,,,,,,,,,,,,,,,,,,,,,,
890000,4630000,2750,0.18308,0.54829,0.09849,0.08578,0.08436,,,,,,,13.26383,99.48136,228.29817,1145,11.18613,1.49453,110609.9743,3355,353
,,,,,,,,,,,,,,,,,,,,,,
705000,4675000,923,0.38542,0.33042,0.15863,0.10968,0.01585,,,,,,,29.62509,104.75126,342.58572,1180.16667,74.99512,1.2645,177788.5018,23022,29
,,,,,,,,,,,,,,,,,,,,,,
890000,4635000,2749,0,0.98282,0,0.00658,0.0106,,,,,,,17.48727,99.85409,229.31175,1114.71429,0.26857,0.20067,6001.87728,70,5
,,,,,,,,,,,,,,,,,,,,,,
705000,4680000,922,0.06974,0.19753,0.45946,0.23429,0.03898,,,,,,,20.30965,102.91616,343.58661,1247.88095,100.86542,1.64015,40751.14964,3795,1
,,,,,,,,,,,,,,,,,,,,,,
705000,4685000,921,0.08134,0.18325,0.29013,0.2761,0.16918,,,,,,,35.27333,102.49345,344.91152,1175.27778,93.87004,1.62698,43283.74563,3432,3
,,,,,,,,,,,,,,,,,,,,,,
705000,4690000,920,0.04826,0.14493,0.49891,0.21987,0.08803,,,,,,,22.41543,100.90549,345.65774,1210.75,108.26779,2.9277,35682.58334,2946,4
,,,,,,,,,,,,,,,,,,,,,,
705000,4695000,919,0.10348,0.27341,0.30815,0.21288,0.10208,,,,,,,29.04102,101.65813,347.00764,1264.86111,95.9485,1.58783,88369.20155,9331,18
,,,,,,,,,,,,,,,,,,,,,,
705000,4700000,918,0.02782,0.1417,0.28918,0.1644,0.37689,,,,,,,32.19445,97.70935,347.06176,1374.09524,156.41537,2.79001,46106.05361,3842,9
,,,,,,,,,,,,,,,,,,,,,,
705000,4705000,917,0.01409,0.07759,0.33949,0.16835,0.40048,,,,,,,32.71254,94.5041,347.27132,1400.94444,203.74736,2.97304,33329.37996,1515,5
,,,,,,,,,,,,,,,,,,,,,,
705000,4710000,916,0.01288,0.06316,0.28941,0.18548,0.44907,,,,,,,30.05436,91.5332,347.37962,1431.80556,248.82212,3.45195,38522.85496,1504,5
,,,,,,,,,,,,,,,,,,,,,,
890000,4670000,2748,0.00834,0.97708,0,0.01459,0,,,,,,,18.79958,96.11369,233.24814,1095,0.33544,0.18284,3277.28563,1,21
,,,,,,,,,,,,,,,,,,,,,,
705000,4715000,915,0.00688,0.03718,0.49995,0.217,0.23898,,,,,,,22.04041,89.33988,347.6306,1478.63889,284.52108,3.07913,29864.81148,531,3
,,,,,,,,,,,,,,,,,,,,,,
705000,4720000,914,0.08365,0.10653,0.4074,0.17548,0.22694,,,,,,,25.37086,93.7373,349.73992,1371.92857,173.1924,4.10205,54222.79659,1921,6
,,,,,,,,,,,,,,,,,,,,,,
705000,4725000,913,0.04059,0.33293,0.24572,0.12804,0.25272,,,,,,,27.46617,95.56217,351.06704,1250.55556,140.0473,2.91927,44537.99353,1402,8
,,,,,,,,,,,,,,,,,,,,,,
705000,4730000,912,0.07496,0.37003,0.18368,0.14732,0.22401,0,0,0,0,0,0,29.3704,97.8744,352.48217,1081.33333,105.11448,2.05967,60950.57904,1912,13
,,,,,,,,,,,,,,,,,,,,,,
705000,4735000,911,0.07533,0.37151,0.15988,0.12127,0.27201,0.01929,0.05213,0.01817,0.02491,0.0017,0.00745,32.18956,97.11482,352.98104,985.91667,102.69947,1.92902,69750.19106,2755,69
,,,,,,,,,,,,,,,,,,,,,,
705000,4740000,910,0.0336,0.24866,0.35695,0.14296,0.21783,0.06786,0.12557,0.2611,0.28213,0.0429,0.01143,25.37699,94.03849,352.9422,1175.04762,151.9141,3.04211,46568.84218,1967,17
,,,,,,,,,,,,,,,,,,,,,,
705000,4745000,909,0.03883,0.08527,0.39489,0.12561,0.35541,0.07699,0.07217,0.21341,0.40729,0.20869,0.02145,25.54319,89.13472,352.32287,1285.19444,224.29594,4.47422,34487.85999,2538,12
,,,,,,,,,,,,,,,,,,,,,,
705000,4750000,908,0.0057,0.06666,0.40683,0.20592,0.31489,0.01361,0.0668,0.25022,0.4175,0.22862,0.02324,19.79659,84.03413,351.59062,1310.63889,308.02603,3.97444,15409.44133,659,17
,,,,,,,,,,,,,,,,,,,,,,
705000,4755000,907,0.03221,0.2673,0.30824,0.14476,0.24749,0.08206,0.24479,0.22653,0.3416,0.06709,0.03792,28.05063,86.58307,353.0073,1273.25,253.66985,2.77123,65028.14327,1478,189
,,,,,,,,,,,,,,,,,,,,,,
705000,4760000,906,0.01761,0.13496,0.32888,0.15404,0.36452,0.04089,0.13049,0.21565,0.4424,0.09199,0.07859,26.1649,87.4267,354.00328,1127.64286,222.99797,3.68488,43014.52553,1327,118
,,,,,,,,,,,,,,,,,,,,,,
705000,4765000,905,0.04127,0.32152,0.21772,0.09907,0.32041,0.05168,0.16535,0.14975,0.211,0.06221,0.02218,26.01183,91.79927,355.97128,1028.08333,142.9651,3.47657,70501.22233,1461,22
,,,,,,,,,,,,,,,,,,,,,,
705000,4770000,904,0.05776,0.40299,0.17147,0.07512,0.29266,0.06885,0.27099,0.07268,0.15197,0.02946,0.02455,26.94109,91.44908,356.55878,944.22222,131.55264,2.40662,72348.88698,1568,42
,,,,,,,,,,,,,,,,,,,,,,
705000,4775000,903,0.09531,0.36516,0.16913,0.07372,0.29668,0.09094,0.15634,0.05698,0.07073,0.00683,0.02139,28.84549,91.75728,357.35596,891.11111,128.1495,2.63365,94927.47485,2606,57
,,,,,,,,,,,,,,,,,,,,,,
705000,4780000,902,0.14797,0.24381,0.29056,0.08776,0.22989,0.06696,0.11171,0.10991,0.03557,0.02404,0.0078,25.18979,90.34325,357.5797,868.27778,151.71559,4.13078,90285.45954,5616,48
,,,,,,,,,,,,,,,,,,,,,,
705000,4785000,901,0.07182,0.2331,0.22919,0.16745,0.29843,0.05225,0.13875,0.18191,0.12334,0.04778,0.01784,26.05368,88.43452,357.80965,940.28571,167.35736,4.13052,52825.20603,1962,20
,,,,,,,,,,,,,,,,,,,,,,
705000,4790000,900,0.0526,0.28366,0.24128,0.14694,0.27552,0.05426,0.16608,0.07488,0.08098,0.03186,0.01066,26.43915,87.40807,358.19156,940.77778,171.14167,3.70162,44483.99328,1316,21
,,,,,,,,,,,,,,,,,,,,,,
705000,4795000,899,0.11643,0.24364,0.19818,0.11159,0.33017,0.0806,0.09932,0.04645,0.02282,0.00549,0.01384,28.42594,87.37176,358.84395,866.72222,167.99361,3.97851,70582.10665,3897,35
,,,,,,,,,,,,,,,,,,,,,,
705000,4800000,898,0.05508,0.27728,0.25193,0.10811,0.30761,0,0,0,0,0,0,24.57611,83.8707,358.47278,993.83333,226.7307,3.83402,50512.51764,2063,28
,,,,,,,,,,,,,,,,,,,,,,
705000,4805000,897,0.03344,0.22628,0.3455,0.1431,0.25168,0,0.00693,0.00041,0.00236,0.00495,0.0022,22.17419,79.37795,357.91193,1079.19048,289.58015,3.52586,47605.27999,1193,41
,,,,,,,,,,,,,,,,,,,,,,
705000,4810000,896,0.053,0.19434,0.31163,0.17362,0.26742,0,0.01464,0.00658,0.00976,0.01258,0.00331,23.89229,80.65628,358.95978,997.97222,261.66003,3.56232,60345.63651,1189,55
,,,,,,,,,,,,,,,,,,,,,,
705000,4815000,895,0.02424,0.07921,0.44139,0.1232,0.33196,0,0,0,0,0,0,17.18394,73.125,357.40978,1054.55556,416.22831,7.56429,34529.31607,1287,146
,,,,,,,,,,,,,,,,,,,,,,
705000,4820000,894,0.04045,0.22833,0.34035,0.14565,0.24522,0,0,0,0,0,0,21.1478,79.31581,359.8058,913,273.37243,5.00891,56496.64304,1507,159
,,,,,,,,,,,,,,,,,,,,,,
705000,4825000,893,0.04848,0.24035,0.2801,0.13145,0.29962,0,0,0,0,0,0,22.28696,78.56633,360.24994,844.09524,264.15585,4.08118,55414.76609,1600,40
,,,,,,,,,,,,,,,,,,,,,,
705000,4830000,892,0.0228,0.23669,0.29797,0.12119,0.32135,0,0,0,0,0,0,23.58453,75.90496,360.17038,864.83333,303.11497,4.01949,54221.9291,1600,33
,,,,,,,,,,,,,,,,,,,,,,
705000,4835000,891,0.02578,0.16121,0.25139,0.16924,0.39238,0,0,0,0,0,0,23.82628,77.51594,361.28362,896.66667,271.29408,3.98107,47467.83355,1622,199
,,,,,,,,,,,,,,,,,,,,,,
705000,4840000,890,0.06641,0.25989,0.22192,0.18495,0.26684,0,0,0,0,0,0,23.93033,77.48538,361.88871,871.33333,259.48273,3.744,87961.53185,2046,801
,,,,,,,,,,,,,,,,,,,,,,
705000,4845000,889,0.09326,0.16817,0.22052,0.2966,0.22145,0,0,0,0,0,0,22.23844,77.9589,362.67095,831.61905,234.14753,4.96906,67055.42005,1710,297
,,,,,,,,,,,,,,,,,,,,,,
705000,4850000,888,0.05901,0.05624,0.33479,0.40794,0.14202,0,0,0,0,0,0,16.88576,74.94782,362.4552,992.72222,291.99443,5.52375,32149.83311,703,20
,,,,,,,,,,,,,,,,,,,,,,
705000,4855000,887,0.02026,0.08527,0.30442,0.37395,0.21611,0,0,0,0,0,0,17.95231,69.80542,361.53287,1161.16667,366.91689,4.95661,47251.32301,802,67
,,,,,,,,,,,,,,,,,,,,,,
705000,4860000,886,0.02399,0.12094,0.48672,0.26466,0.1037,0,0,0,0,0,0,9.37047,65.73605,360.9088,1113.72222,438.68299,4.36934,33749.25068,700,68
,,,,,,,,,,,,,,,,,,,,,,
705000,4865000,885,0.02553,0.10054,0.50597,0.2828,0.08516,0,0,0,0,0,0,9.14389,64.09484,361.04151,1077.59524,453.35731,4.8134,32928.00758,362,60
,,,,,,,,,,,,,,,,,,,,,,
705000,4870000,884,0.03575,0.08265,0.49281,0.30008,0.08871,0,0,0,0,0,0,7.55058,61.51283,360.91775,1168.69444,493.9014,4.29993,31083.04583,342,64
,,,,,,,,,,,,,,,,,,,,,,
890000,4850000,2747,0.04879,0.48602,0.0327,0.18275,0.24974,,,,,,,26.48427,84.75714,312.15925,1218.2,0.89392,0.18814,16620.89074,230,218
,,,,,,,,,,,,,,,,,,,,,,
890000,4855000,2746,0.04823,0.37811,0.04195,0.32779,0.20392,,,,,,,30.3091,83.82127,313.93248,1282.66667,6.51394,0.54926,40803.711,385,382
,,,,,,,,,,,,,,,,,,,,,,
890000,4860000,2745,0.03577,0.34797,0.09959,0.31585,0.20081,,,,,,,33.24969,83.86349,314.92832,1252.33333,3.09616,0.54704,35993.02701,1085,242
,,,,,,,,,,,,,,,,,,,,,,
890000,4865000,2744,0.07141,0.39676,0.04611,0.26982,0.2159,,,,,,,37.11031,83.23316,321.78915,1195.75,12.05068,1.16637,58853.37836,2167,54
,,,,,,,,,,,,,,,,,,,,,,
710000,4575000,1003,0.23597,0.3226,0.32724,0.08468,0.0295,,,,,,,14.47026,113.99219,292.48666,1156.12,5.36939,0.6598,82064.52912,4399,718
,,,,,,,,,,,,,,,,,,,,,,
710000,4580000,1002,0.0502,0.12819,0.65782,0.15752,0.00627,,,,,,,5.99559,111.80255,294.21503,1169.78571,41.5146,2.12035,66975.19932,4526,11
,,,,,,,,,,,,,,,,,,,,,,
710000,4585000,1001,0.07903,0.17064,0.6623,0.07774,0.01029,,,,,,,9.40912,110.65368,296.93445,1108.45238,64.70592,2.57343,84645.56134,5625,17
,,,,,,,,,,,,,,,,,,,,,,
710000,4590000,1000,0.08535,0.21683,0.61406,0.06136,0.0224,,,,,,,13.9181,111.07902,300.03922,1051.40476,53.34138,2.90934,99761.50602,4681,36
,,,,,,,,,,,,,,,,,,,,,,
710000,4595000,999,0.05784,0.30076,0.53068,0.08659,0.02413,,,,,,,14.11137,110.3879,303.03808,1179.44898,55.95173,2.53647,76347.1094,2338,43
,,,,,,,,,,,,,,,,,,,,,,
710000,4600000,998,0.05981,0.22686,0.60465,0.08347,0.02521,,,,,,,12.09423,108.73532,305.78496,1258.2381,76.95046,2.5961,79094.37848,3541,218
,,,,,,,,,,,,,,,,,,,,,,
710000,4605000,997,0.018,0.09556,0.65015,0.14809,0.08821,,,,,,,11.74571,107.19546,308.37495,1223.83333,97.50373,3.16874,59482.54552,3575,29
,,,,,,,,,,,,,,,,,,,,,,
710000,4610000,996,0.03611,0.11291,0.71573,0.11503,0.02022,,,,,,,6.60117,106.00096,311.01368,1132.33333,126.55038,2.90909,44462.23802,3169,2
,,,,,,,,,,,,,,,,,,,,,,
710000,4615000,995,0.07142,0.12885,0.61078,0.17697,0.01198,,,,,,,9.55879,105.00836,313.86843,1100,136.55428,2.61758,78575.20919,4092,18
,,,,,,,,,,,,,,,,,,,,,,
710000,4620000,994,0.05798,0.2511,0.51149,0.17233,0.0071,,,,,,,10.3974,103.35867,316.52939,1164.90476,158.64997,2.03147,56070.14324,4995,6
,,,,,,,,,,,,,,,,,,,,,,
710000,4625000,993,0.05393,0.15565,0.6248,0.16293,0.00269,,,,,,,10.32541,101.44371,318.82837,1243.83333,190.90711,2.03112,50170.07102,4425,0
,,,,,,,,,,,,,,,,,,,,,,
710000,4630000,992,0.08111,0.22557,0.61096,0.07161,0.01076,,,,,,,12.73893,101.32069,321.39815,1290.97619,192.07896,2.22114,81715.11799,5009,8
,,,,,,,,,,,,,,,,,,,,,,
710000,4635000,991,0.10371,0.2327,0.55021,0.08885,0.02453,,,,,,,17.60823,101.21623,324.21774,1380.7551,180.19267,2.45162,81861.15818,6639,24
,,,,,,,,,,,,,,,,,,,,,,
710000,4640000,990,0.28621,0.33468,0.30636,0.05529,0.01746,,,,,,,24.65653,101.94637,327.10648,1374.02381,157.74221,2.21941,135189.3565,20226,18
,,,,,,,,,,,,,,,,,,,,,,
710000,4645000,989,0.08337,0.3382,0.44523,0.11169,0.02151,,,,,,,19.53466,102.52738,329.65827,1330.83333,150.64564,2.18021,66811.65245,5210,10
,,,,,,,,,,,,,,,,,,,,,,
710000,4650000,988,0.05601,0.21066,0.5746,0.11955,0.03919,,,,,,,17.25017,101.23957,331.61594,1335.78571,164.26378,2.40561,70455.67584,3892,4
,,,,,,,,,,,,,,,,,,,,,,
710000,4655000,987,0.09864,0.21664,0.44247,0.15673,0.08552,,,,,,,23.49883,102.5809,334.13596,1309.92857,124.71325,2.35838,79970.45959,4394,11
,,,,,,,,,,,,,,,,,,,,,,
710000,4660000,986,0.06738,0.20085,0.44232,0.20641,0.08304,,,,,,,22.94062,102.0965,336.1272,1289.71429,135.3246,2.77865,56360.89056,3958,8
,,,,,,,,,,,,,,,,,,,,,,
895000,4620000,2760,0.06778,0.90563,0.01408,0.0073,0.00521,,,,,,,21.7451,100.8119,226.15278,1109.5,0.07163,0.05592,5699.727,45,94
,,,,,,,,,,,,,,,,,,,,,,
710000,4665000,985,0.10925,0.18315,0.44207,0.21162,0.05389,,,,,,,23.27376,102.57993,338.23816,1265.64286,123.32038,2.4646,73520.41678,6993,12
,,,,,,,,,,,,,,,,,,,,,,
895000,4625000,2759,0.50771,0.34191,0.01798,0.04417,0.08823,,,,,,,11.07965,100.1444,225.8396,1115.79412,4.54397,0.77175,200918.9034,11364,3198
,,,,,,,,,,,,,,,,,,,,,,
710000,4670000,984,0.10466,0.20302,0.44182,0.20632,0.04418,,,,,,,22.52462,102.52681,339.94443,1250.57143,117.05805,1.98906,85921.89736,7009,22
,,,,,,,,,,,,,,,,,,,,,,
895000,4630000,2758,0.34141,0.29973,0.10994,0.0788,0.17011,,,,,,,9.75338,99.14392,226.39746,1151.52778,11.84072,1.72924,173582.0125,10314,704
,,,,,,,,,,,,,,,,,,,,,,
710000,4675000,983,0.16745,0.24289,0.38592,0.15185,0.05188,,,,,,,26.24931,103.1381,341.72508,1190.80952,101.75576,1.90813,86877.49029,6695,7
,,,,,,,,,,,,,,,,,,,,,,
895000,4635000,2757,0.24843,0.55638,0.05056,0.08748,0.05715,,,,,,,15.54839,99.23274,226.71337,1151.4375,1.92102,0.44858,52067.55062,3356,908
,,,,,,,,,,,,,,,,,,,,,,
710000,4680000,982,0.04349,0.15468,0.51605,0.19348,0.09229,,,,,,,27.09711,100.5033,342.66071,1165.16327,144.60628,1.68411,36740.78888,4044,20
,,,,,,,,,,,,,,,,,,,,,,
710000,4685000,981,0.10374,0.19122,0.41325,0.20651,0.08528,,,,,,,27.55757,99.83146,343.99721,1217.47619,143.53882,1.73883,80854.32327,5994,15
,,,,,,,,,,,,,,,,,,,,,,
710000,4690000,980,0.05569,0.15139,0.5016,0.17032,0.12102,,,,,,,28.01294,98.10017,344.78626,1271.64286,160.50304,2.47381,62952.44429,4515,27
,,,,,,,,,,,,,,,,,,,,,,
710000,4695000,979,0.00932,0.07856,0.69981,0.13417,0.07813,,,,,,,22.36201,91.66944,344.21043,1384.35714,281.95732,2.2909,43026.28815,1649,6
,,,,,,,,,,,,,,,,,,,,,,
710000,4700000,978,0.00703,0.0649,0.52781,0.19011,0.21015,,,,,,,23.61444,89.99893,344.9854,1323.85714,304.60349,2.27134,40885.42852,1064,3
,,,,,,,,,,,,,,,,,,,,,,
710000,4705000,977,0.00871,0.071,0.41658,0.27645,0.22726,,,,,,,22.59052,88.57131,345.67886,1271.16667,317.47638,2.3639,40783.65275,1187,5
,,,,,,,,,,,,,,,,,,,,,,
895000,4665000,2756,0,1,0,0,0,,,,,,,18.37147,96.29841,231.13137,1082.66667,0.14113,0.10593,0,75,127
,,,,,,,,,,,,,,,,,,,,,,
710000,4710000,976,0.00721,0.07853,0.26113,0.2494,0.40372,,,,,,,27.83897,89.10703,346.78598,1253.42857,293.93238,2.59442,53117.05436,1218,136
,,,,,,,,,,,,,,,,,,,,,,
895000,4670000,2755,0.15642,0.6813,0.02779,0.04863,0.08587,,,,,,,12.30263,95.68665,231.81385,1104.32143,4.93433,2.12659,98565.31378,3361,1698
,,,,,,,,,,,,,,,,,,,,,,
710000,4715000,975,0.00671,0.09072,0.47574,0.23823,0.1886,,,,,,,20.9361,87.28946,347.2116,1301.71429,318.38051,1.76204,48951.94492,740,31
,,,,,,,,,,,,,,,,,,,,,,
710000,4720000,974,0.02126,0.08864,0.41299,0.24303,0.23407,,,,,,,23.36724,89.45209,348.71898,1294.57143,272.43681,3.27287,42168.2822,1081,13
,,,,,,,,,,,,,,,,,,,,,,
710000,4725000,973,0.01086,0.10076,0.37233,0.14023,0.37581,,,,,,,24.62315,88.76808,349.34861,1290.90476,279.84727,3.88738,44223.5503,1171,12
,,,,,,,,,,,,,,,,,,,,,,
710000,4730000,972,0.00382,0.03849,0.3714,0.26715,0.31913,0,0,0,0,0,0,21.55567,86.3746,349.46674,1351.69048,308.30392,3.63859,24743.10011,612,7
,,,,,,,,,,,,,,,,,,,,,,
710000,4735000,971,0.00807,0.06092,0.32974,0.22633,0.37495,0.02192,0.01256,0.05272,0.13275,0.05185,0.01653,25.23393,88.85227,350.92905,1333.16667,235.78353,4.08642,35580.44348,909,42
,,,,,,,,,,,,,,,,,,,,,,
710000,4740000,970,0.06429,0.10251,0.37151,0.19108,0.27061,0.11672,0.10503,0.30701,0.35048,0.0668,0.05396,25.6751,91.68382,352.52885,1120.26531,196.47387,3.15088,61317.5219,2713,13
,,,,,,,,,,,,,,,,,,,,,,
710000,4745000,969,0.01958,0.09846,0.36484,0.17426,0.34286,0.06516,0.09441,0.20236,0.45708,0.13428,0.04671,26.08814,90.38294,352.96539,1050.45238,208.40744,3.07541,37001.60584,1281,20
,,,,,,,,,,,,,,,,,,,,,,
710000,4750000,968,0.00366,0.04012,0.42533,0.21345,0.31744,0.00552,0.04336,0.20639,0.54145,0.17184,0.03144,21.31195,87.07097,352.72828,1061,253.717,3.29669,26846.41227,633,12
,,,,,,,,,,,,,,,,,,,,,,
710000,4755000,967,0.02125,0.06554,0.41274,0.24901,0.25146,0.05184,0.04533,0.25035,0.51056,0.10654,0.03537,20.45197,84.83679,352.78422,1181.59524,285.84185,3.30502,44188.02956,1626,60
,,,,,,,,,,,,,,,,,,,,,,
710000,4760000,966,0.01395,0.09509,0.333,0.26451,0.29345,0.04722,0.07508,0.30826,0.41102,0.07746,0.08096,25.02094,85.59776,353.77342,1197.08163,265.86011,3.54405,43679.26645,1319,17
,,,,,,,,,,,,,,,,,,,,,,
710000,4765000,965,0.01796,0.10327,0.33286,0.24379,0.30213,0.04562,0.09491,0.28022,0.43589,0.08552,0.05785,23.00151,84.68957,354.25174,1245.45238,265.66072,4.23341,41724.26205,643,3
,,,,,,,,,,,,,,,,,,,,,,
710000,4770000,964,0.00516,0.15092,0.26322,0.27262,0.30808,0.03483,0.14449,0.231,0.46103,0.08629,0.04237,22.38255,80.98226,353.88882,1310.04762,319.24108,3.79059,45138.94381,713,9
,,,,,,,,,,,,,,,,,,,,,,
710000,4775000,963,0.00896,0.22292,0.22651,0.2425,0.29911,0.05204,0.21613,0.20236,0.3662,0.06266,0.1006,23.98487,81.62693,354.75097,1280.83333,297.43188,3.37752,51277.89823,1069,19
,,,,,,,,,,,,,,,,,,,,,,
710000,4780000,962,0.04087,0.16976,0.16348,0.22358,0.40232,0.14004,0.11519,0.1774,0.35431,0.1127,0.10037,26.52132,85.45896,356.52877,1162.92857,211.30536,3.72468,62217.0668,1624,19
,,,,,,,,,,,,,,,,,,,,,,
710000,4785000,961,0.03937,0.20675,0.17444,0.13288,0.44656,0.09929,0.19177,0.16243,0.3074,0.09296,0.14615,26.72179,86.03562,357.38882,1067.08163,206.07289,3.24504,46098.85085,1202,25
,,,,,,,,,,,,,,,,,,,,,,
710000,4790000,960,0.02212,0.07383,0.35236,0.33379,0.2179,0.02684,0.05505,0.37449,0.41281,0.07858,0.05223,18.99062,79.49263,356.20341,1239.19048,322.85306,3.49324,27298.74292,564,34
,,,,,,,,,,,,,,,,,,,,,,
710000,4795000,959,0.05206,0.1307,0.20212,0.25913,0.35598,0.11109,0.09197,0.21291,0.40464,0.1127,0.0665,24.86948,82.16366,357.6423,1184.64286,246.71004,2.81682,47974.08723,2195,46
,,,,,,,,,,,,,,,,,,,,,,
710000,4800000,958,0.05203,0.27262,0.12485,0.10642,0.44408,0.11312,0.18037,0.09903,0.26181,0.11672,0.10112,28.05235,84.56531,358.98053,1053.85714,191.5385,3.71391,51694.88473,1712,23
,,,,,,,,,,,,,,,,,,,,,,
710000,4805000,957,0.10923,0.34175,0.08077,0.08199,0.38626,0.17899,0.25177,0.07685,0.23263,0.05698,0.1171,29.50221,85.9984,360.08798,975.4898,159.3045,2.43528,53053.31455,4014,24
,,,,,,,,,,,,,,,,,,,,,,
710000,4810000,956,0.14289,0.23766,0.09398,0.06755,0.45792,0.23831,0.17736,0.07451,0.19015,0.09298,0.18673,32.92657,85.83146,360.73704,906.09524,159.61968,3.12568,70338.50709,4613,20
