"ObjectID","ScientificName","infestedAreaInAcres","grossAreaInAcres","invasivecover","count","AbundanceText","PercentPlotCovered","density","ReporterFULLName","ReporterOrg","Latitude_Decimal","Longitude_Decimal","validInfestedArea","Longitude_sign_change","USDAcode","USDAcodeUNMERGED","countN","countC","countQUANT","coverN","coverC","coverP","cover","dPERC","dPLANTS","dTLMH","Dcount","countFromDensity","Dcover","coverFromDensity","countORD","unreasonably_large_area","coverORD","textORD","areaORD","ord"
413274,"Alliaria petiolata",2.29568e-05,2.29568e-05,"Trace     ",NA,"Single Plant                  ","NULL",NA,"Chris Evans","University of Illinois",41.9282878865651,-93.4384632110596,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Trace     ",NA,"trace",NA,NA,NA,NA,0,NA,0,NA,0,1,1,1,1
595748,"Alliaria petiolata",NA,NA,"High      ",NA,"Scattered Plants              ","NULL",NA,"Cynthia C. Taylor","Elachee Nature Science Center",35.6573398349586,-83.5811519622803,0,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
596127,"Alliaria petiolata",0.00114784,0.229568,NA,NA,"Scattered Dense Patches       ","NULL",NA,"Silas Mathes","TN Dept. of Environment and Conservation",35.9808539011835,-86.4433479309082,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,1,1.5
615766,"Alliaria petiolata",0.0114784,1,"Trace     ",NA,"Scattered Dense Patches       ","NULL",NA,"Lisa Huff","Tennessee Division of Natural Areas",36.1253966874048,-82.0814323425293,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Trace     ",NA,"trace",NA,NA,NA,NA,0,NA,0,NA,0,1,2,2,2
615801,"Alliaria petiolata",2,5,"Moderate  ",NA,"Scattered Dense Patches       ","NULL",NA,"Chris Evans","University of Illinois",37.79188,-89.48922,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,2,3,2
615802,"Alliaria petiolata",0.6,1,"Moderate  ",NA,"Scattered Dense Patches       ","NULL",NA,"Chris Evans","University of Illinois",37.51097,-88.59026,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,2,3,2
615803,"Alliaria petiolata",2.29568e-05,2.29568e-05,"Trace     ",NA,"Scattered Plants              ","NULL",NA,"Chris Evans","University of Illinois",37.51097,-88.59026,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Trace     ",NA,"trace",NA,NA,NA,NA,0,NA,0,NA,0,1,1,1,1
615804,"Alliaria petiolata",0.000459136,2,"Trace     ",NA,"Scattered Plants              ","NULL",NA,"Chris Evans","University of Illinois",37.7156029193827,-89.0298235416412,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Trace     ",NA,"trace",NA,NA,NA,NA,0,NA,0,NA,0,1,1,1,1
615930,"Alliaria petiolata",NA,NA,"Moderate  ",NA,"Single Plant                  ","NULL",NA,"Lindsay Ross","MDNR",42.7668005732572,-84.6331787109375,0,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,NA,1.5
615969,"Alliaria petiolata",0.459136,1.14784,"High      ",NA,"Scattered Dense Patches       ","NULL",NA,"Cynthia C. Taylor","Elachee Nature Science Center",36.6688750171678,-80.9259474277496,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,2,3,3
616017,"Alliaria petiolata",1,3,"Low       ",NA,"Scattered Dense Patches       ","NULL",NA,"Chris Evans","University of Illinois",37.7216115570666,-88.9881420135498,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Low       ",NA,"low",NA,NA,NA,NA,0,NA,0,NA,0,1,2,3,2
616317,"Alliaria petiolata",0.000229568,0.00229568,"Moderate  ",NA,"Scattered Dense Patches       ","NULL",NA,"Ellen Jacquart","TNC",39.2904020624506,-86.6257381439209,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,2,1,2
616511,"Berberis thunbergii",NA,NA,"High      ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92383928,-77.35601398,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616539,"Berberis thunbergii",NA,NA,"Low       ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.9180862,-77.34387766,0,0,"BETH","BETH",NA,NA,NA,NA,"Low       ",NA,"low",NA,NA,NA,NA,0,NA,0,NA,0,1,1,NA,1
616542,"Berberis thunbergii",NA,NA,"Moderate  ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.91797137,-77.34397262,0,0,"BETH","BETH",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,NA,1.5
616552,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92506757,-77.35502676,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616556,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.99450384,-77.33914255,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616559,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.99351578,-77.33748126,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616573,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.93206964,-77.37649407,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616579,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92452878,-77.34904862,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616580,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92437656,-77.35076766,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616582,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92846718,-77.3557155,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616613,"Berberis thunbergii",NA,NA,"High      ",NA,"Dense Monoculture             ","NULL",NA,"Patricia Greenberg","Reston Association",38.92713681,-77.36290927,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,3,NA,3
616635,"Berberis thunbergii",NA,NA,"Low       ",NA,"Scattered Dense Patches       ","NULL",NA,"Patricia Greenberg","Reston Association",38.92401799,-77.33843814,0,0,"BETH","BETH",NA,NA,NA,NA,"Low       ",NA,"low",NA,NA,NA,NA,0,NA,0,NA,0,1,2,NA,1.5
616675,"Berberis thunbergii",NA,NA,"Moderate  ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.91856807,-77.33921321,0,0,"BETH","BETH",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,NA,1.5
616685,"Berberis thunbergii",NA,NA,"High      ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92239835,-77.35136521,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616715,"Berberis thunbergii",NA,NA,"Moderate  ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92766252,-77.36307716,0,0,"BETH","BETH",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,NA,1.5
616716,"Berberis thunbergii",NA,NA,"Low       ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92707822,-77.36451415,0,0,"BETH","BETH",NA,NA,NA,NA,"Low       ",NA,"low",NA,NA,NA,NA,0,NA,0,NA,0,1,1,NA,1
616717,"Berberis thunbergii",NA,NA,"High      ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92666306,-77.36385324,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616718,"Berberis thunbergii",NA,NA,"M         ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92997467,-77.36560749,0,0,"BETH","BETH",NA,NA,NA,NA,"M         ",NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,1
616735,"Berberis thunbergii",NA,NA,"High      ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92493564,-77.33376925,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616741,"Berberis thunbergii",NA,NA,"Moderate  ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.9235108,-77.33681758,0,0,"BETH","BETH",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,NA,1.5
616768,"Berberis thunbergii",NA,NA,"High      ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.93182053,-77.34961054,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616778,"Berberis thunbergii",NA,NA,"Moderate  ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.91783516,-77.34470847,0,0,"BETH","BETH",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,NA,1.5
616779,"Berberis thunbergii",NA,NA,"High      ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.91697233,-77.34389073,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616783,"Berberis thunbergii",NA,NA,"High      ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92496573,-77.35678855,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616784,"Berberis thunbergii",NA,NA,"Moderate  ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92632787,-77.35850835,0,0,"BETH","BETH",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,NA,1.5
616790,"Berberis thunbergii",NA,NA,"High      ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92814708,-77.35477472,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616794,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92629032,-77.3370262,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616795,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92679198,-77.33844216,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616796,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92629032,-77.3370262,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616797,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92679198,-77.33844216,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616798,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92639442,-77.33787563,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616812,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92478594,-77.36764094,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616819,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92435879,-77.33869253,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616820,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.9233844,-77.3375349,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616821,"Berberis thunbergii",NA,NA,"Moderate  ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92465878,-77.33687751,0,0,"BETH","BETH",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,NA,1.5
616825,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.9253404,-77.32888411,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616835,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.93457416,-77.32052634,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616838,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92203826,-77.36420251,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616842,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.91969443,-77.34356845,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616844,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92764291,-77.35736364,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616845,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.93192816,-77.32375296,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616846,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.92523018,-77.35497018,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616927,"Berberis thunbergii",NA,NA,"Low       ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92920529,-77.36449127,0,0,"BETH","BETH",NA,NA,NA,NA,"Low       ",NA,"low",NA,NA,NA,NA,0,NA,0,NA,0,1,1,NA,1
616935,"Berberis thunbergii",NA,NA,"High      ",NA,"Scattered Plants              ","NULL",NA,"Patricia Greenberg","Reston Association",38.92583149,-77.33592734,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
616968,"Berberis thunbergii",NA,NA,"High      ",NA,"Single Plant                  ","NULL",NA,"Patricia Greenberg","Reston Association",38.9255849,-77.33922218,0,0,"BETH","BETH",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
618077,"Berberis thunbergii",0.001,0.001,NA,NA,"Scattered Plants              ","NULL",NA,"Jennifer Stingelin Keefer","Penn State/National Park Service",37.8555828381,-81.0497787708,1,0,"BETH","BETH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,1,1
618082,"Berberis thunbergii",9.18272e-05,9.18272e-05,NA,NA,NA,"NULL",NA,"Jennifer Stingelin Keefer","Penn State/National Park Service",37.8757611799,-81.0712147648,1,0,"BETH","BETH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,1,1
618544,"Berberis thunbergii",NA,NA,NA,NA,"Single Plant                  ","NULL",NA,"Jennifer Stingelin Keefer","Penn State/National Park Service",37.8572627886602,-81.0614319657804,0,0,"BETH","BETH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,1
618775,"Berberis thunbergii",NA,NA,NA,NA,"Scattered Plants              ","NULL",NA,"Jennifer Stingelin Keefer","Penn State/National Park Service",37.959257,-81.0805734,0,0,"BETH","BETH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,1
618776,"Berberis thunbergii",NA,NA,NA,NA,"Scattered Plants              ","NULL",NA,"Jennifer Stingelin Keefer","Penn State/National Park Service",37.7581643,-80.9021988,0,0,"BETH","BETH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,1
618777,"Berberis thunbergii",NA,0.1,NA,NA,"Scattered Plants              ","NULL",NA,"Jennifer Stingelin Keefer","Penn State/National Park Service",37.9633562,-81.0253988,0,0,"BETH","BETH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,1
632984,"Alliaria petiolata",5,25,"High      ",NA,"Scattered Dense Patches       ","NULL",NA,"James Akerson","NPS Mid-Atlantic EPMT",38.898669,-78.069676,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,2,3,3
632985,"Alliaria petiolata",2,5,"Moderate  ",NA,"Scattered Plants              ","NULL",NA,"James Akerson","NPS Mid-Atlantic EPMT",38.876695,-78.146093,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,3,2
633750,"Alliaria petiolata",0.114784,4,"High      ",NA,"Scattered Dense Patches       ","NULL",NA,"Charles Tatham","USDA-APHIS-Plant Protection & Quarantine",43.0731,-70.7429,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,2,2,2
634022,"Alliaria petiolata",0.25,2,"Moderate  ",NA,"Scattered Plants              ","NULL",NA,"Justin Bush","Lady Bird Johnson Wildflower Center",45.709336,-121.78039,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,2,2
990656,"Alliaria petiolata",0.5,10,"High      ",NA,"Scattered Plants              ","NULL",NA,"Meghan Fellows","Fairfax County",38.9178335070372,-77.3586201667786,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,3,3
991026,"Alliaria petiolata",NA,NA,NA,NA,"Scattered Plants              ","NULL",NA,"Max Bennett","OSU Extension Service",42.41160803,-123.12691421,0,0,"ALPE4","ALPE4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,1
991145,"Alliaria petiolata",0.00229568,0.00459136,"Moderate  ",NA,"Scattered Dense Patches       ","NULL",NA,"Jennifer Dean","The Nature Conservancy",40.8034798044385,-77.8202819824219,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,2,1,2
991256,"Berberis thunbergii",NA,NA,"Low       ",NA,"Scattered Plants              ","NULL",NA,"Kristina Glanville","Portland Trails",43.6569434777831,-70.3245162963867,0,0,"BETH","BETH",NA,NA,NA,NA,"Low       ",NA,"low",NA,NA,NA,NA,0,NA,0,NA,0,1,1,NA,1
991291,"Alliaria petiolata",NA,NA,"Low       ",NA,"Scattered Plants              ","NULL",NA,"Chris Evans","University of Illinois",37.6057,-89.43835,0,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Low       ",NA,"low",NA,NA,NA,NA,0,NA,0,NA,0,1,1,NA,1
991309,"Alliaria petiolata",NA,NA,"Moderate  ",NA,"Scattered Plants              ","NULL",NA,"kay Rippelmeyer","weedwatch volunteer",37.60266,-89.43874,0,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,NA,1.5
991671,"Alliaria petiolata",NA,NA,"Low       ",NA,"Scattered Plants              ","NULL",NA,"Stephen Perkins","Appalachian Trail Conservancy",37.37919,-80.25001,0,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Low       ",NA,"low",NA,NA,NA,NA,0,NA,0,NA,0,1,1,NA,1
991694,"Alliaria petiolata",NA,NA,"Moderate  ",NA,"Scattered Plants              ","NULL",NA,"Stephen Perkins","Appalachian Trail Conservancy",37.36393,-80.22581,0,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,NA,1.5
